international_id,position,dominant_hand,experience_level,years_played,years_pro,scout_notes
2991,defense,left,veteran,8.0,8.0,"effort varies throughout the game, awkward stride mechanics"
3042,right wing,right,veteran,0.0,0.0,a consistent performer who can be counted on in any situation
3761,right wing,right,veteran,0.0,0.0,late support on breakouts
6229,left wing,left,rookie,1.0,1.0,
1303,defense,,veteran,9.0,9.0,"poor awareness in defensive zone, strong and aggressive competitor with reliable defensive habits, but currently lacks discipline and consistency"
7096,goalie,left,sophomore,0.0,0.0,"reliable shift to shift consistency, has a secret handshake with the goalie"
2571,left wing,,veteran,5.0,5.0,"celebrates every goal like it wins the cup, raw mechanics in skating stride, skates hard until it is time to backcheck"
7353,defense,,veteran,2.0,2.0,a player with a high hockey IQ who reads the game well and makes smart decisions
8750,goalie,left,sophomore,1.0,1.0,
5118,right wing,left,veteran,12.0,3.0,raw skillset with strong potential
4890,defense,right,sophomore,10.0,9.0,timid and passive approach limits overall effectiveness
5125,defense,left,veteran,11.0,4.0,"a creative and aggressive playmaker, undisciplined habits lead to turnovers and weak defensive play"
7136,center,left,rookie,7.0,7.0,"mistimes involvement in the rush, locked in throughout the game"
220,defense,right,rookie,7.0,7.0,a fierce competitor who never gives up and always plays with heart
1113,left wing,left,veteran,8.0,8.0,refuses to change stick after a goal
4899,left wing,right,veteran,5.0,5.0,"tapes the stick more than touching the puck, always has a positive attitude"
677,right wing,left,veteran,4.0,4.0,always gives high fives to the refs
2956,left wing,left,rookie,7.0,7.0,leading to avoidable turnovers
7452,goalie,left,veteran,13.0,3.0,"creates space for teammates, sharp anticipation of developing plays"
1030,defense,left,veteran,9.0,9.0,"sharp edge control in corners, quick and focused skater with elite awareness and smart positioning, delivers when it matters most"
4660,defense,left,sophomore,6.0,6.0,skates hard until it is time to backcheck
5614,center,left,veteran,6.0,6.0,
129,right wing,right,rookie,10.0,5.0,"intelligent puck movement under pressure, applies constant pressure on puck carriers"
8129,defense,left,sophomore,6.0,6.0,leading to inconsistent play
1322,center,right,rookie,9.0,7.0,adjusts helmet exactly three times before faceoff
2100,left wing,left,veteran,11.0,5.0,"motivates others in the locker room, solid gap control on defense"
6206,center,left,rookie,10.0,6.0,effective on the power play
1967,goalie,left,veteran,12.0,8.0,though prone to lapses and poor execution
4743,right wing,left,rookie,2.0,2.0,
1165,right wing,right,rookie,7.0,7.0,"lazy effort during shifts, unrefined skating technique"
3947,defense,left,veteran,0.0,0.0,holds onto the puck too long
3389,center,left,rookie,3.0,3.0,struggles with puck control on entries
3337,center,left,veteran,4.0,4.0,celebrates even the smallest plays
6123,right wing,left,veteran,0.0,0.0,dynamic impact in transition play
4248,left wing,left,veteran,9.0,8.0,"a player with a great sense of loyalty, focused throughout the entire game, tries the fancy move every time, blocks shots in key moments, anticipation comes a step late"
2887,goalie,left,rookie,0.0,0.0,undisciplined stick positioning
4424,defense,right,veteran,12.0,7.0,late reactions to developing plays
5081,defense,left,veteran,9.0,9.0,aggressive forechecking pressure
2808,defense,right,rookie,1.0,1.0,"gap control allows easy entries, strong but sometimes reckless"
6178,left wing,left,veteran,10.0,9.0,disciplined approach to positioning
5994,left wing,left,veteran,9.0,9.0,anticipation comes a step late
2677,defense,left,rookie,9.0,7.0,strong and reliable presence on the ice
3226,goalie,left,rookie,0.0,0.0,celebrates even the smallest plays
5257,goalie,left,rookie,0.0,0.0,quick acceleration and reaction speed
9819,left wing,left,legend,6.0,6.0,focused attention to detail
1748,left wing,left,rookie,6.0,6.0,"a player with a great sense of responsibility who takes care of his teammates and the community, leading to inconsistent play, a player with a strong work ethic who is always striving to get better, an elite and smart player"
8285,left wing,right,rookie,8.0,8.0,clutch performance in key moments
8166,defense,,veteran,2.0,2.0,struggles with puck control on entries
4396,right wing,left,veteran,4.0,4.0,pressures defenders into mistakes
754,defense,left,veteran,5.0,5.0,"timid in physical battles, always takes the last lap in warmup"
7852,left wing,left,rookie,0.0,0.0,elite presence that elevates team play
5160,goalie,left,veteran,13.0,8.0,
424,goalie,right,rookie,8.0,8.0,reliable in all game situations
8821,left wing,left,rookie,0.0,0.0,lazy effort during shifts
3379,center,left,rookie,0.0,0.0,"a natural leader who inspires teammates with his work ethic and dedication, disciplined approach to positioning, inconsistent effort levels, acts like a referee after every whistle"
2923,left wing,left,veteran,5.0,5.0,"timid playstyle struggles to make an impact in key moments, often delivers in clutch moments, a creative and aggressive playmaker, a player with a great sense of humor who keeps the team loose and having fun"
3921,right wing,left,sophomore,5.0,5.0,"shoots from anywhere just in case, shows creativity while maintaining structure"
9079,defense,left,veteran,7.0,7.0,"a fierce competitor who never gives up and always plays with heart, an elite and smart player, effective on the power play"
5192,center,left,veteran,2.0,2.0,lisens to weird music when practicing
